Title,Regular Price,Discount Price,Product URL,Add to Cart URL
Apple iPhone 11 128GB 4GB RAM,42.990ден,,https://clevershop.mk/product/apple-iphone-11-128gb-4gb-ram/,?add-to-cart=18937
Apple iPhone 11 64GB 4GB RAM,38.990ден,31.990ден,https://clevershop.mk/product/apple-iphone-11/,?add-to-cart=18562
Apple iPhone 12 128GB 4GB RAM,49.990ден,,https://clevershop.mk/product/apple-iphone-12-128gb-4gb-ram/,?add-to-cart=20023
Apple iPhone 12 64GB 4GB RAM,39.990ден,,https://clevershop.mk/product/apple-iphone-12/,?add-to-cart=18640
Apple iPhone 12 mini 128GB 4GB RAM,39.990ден,,https://clevershop.mk/product/apple-iphone-12-mini-128gb-4gb-ram/,?add-to-cart=20449
Apple iPhone 13 128GB 4GB RAM,53.990ден,47.990ден,https://clevershop.mk/product/apple-iphone-13/,?add-to-cart=18520
Apple iPhone 13 256GB 4GB RAM,60.190ден,,https://clevershop.mk/product/apple-iphone-13-256gb-4gb-ram/,?add-to-cart=20019
Apple iPhone 13 mini 128GB 4GB,48.990ден,45.990ден,https://clevershop.mk/product/apple-iphone-13-mini/,?add-to-cart=18661
Apple iPhone 13 Pro 128GB 6GB RAM,66.990ден,,https://clevershop.mk/product/apple-iphone-13-pro/,?add-to-cart=18526
Apple iPhone 13 Pro 256GB 6GB RAM,78.090ден,,https://clevershop.mk/product/apple-iphone-13-pro-256gb-6gb-ram/,?add-to-cart=20015
Apple iPhone 13 Pro Max 128GB 6GB RAM,75.990ден,,https://clevershop.mk/product/apple-iphone-13-pro-max/,?add-to-cart=18555
Apple iPhone 13 Pro Max 256GB 6GB RAM,84.290ден,,https://clevershop.mk/product/apple-iphone-13-pro-max-256gb-6gb-ram/,?add-to-cart=18924
Apple iPhone 14 128GB 6GB RAM,59.990ден,54.990ден,https://clevershop.mk/product/apple-iphone-14-128gb-6gb-ram/,?add-to-cart=22870
Apple iPhone 14 Plus 128GB 6GB RAM,59.990ден,,https://clevershop.mk/product/apple-iphone-14-plus-128gb-6gb-ram/,?add-to-cart=22878
Apple iPhone 14 Pro 128GB 6GB RAM,89.990ден,79.990ден,https://clevershop.mk/product/apple-iphone-14-pro-128gb-6gb-ram/,?add-to-cart=22884
Apple iPhone 14 Pro Max 128GB 6GB RAM,89.990ден,84.990ден,https://clevershop.mk/product/apple-iphone-14-pro-max-128gb-6gb-ram/,?add-to-cart=22891
